keyword,job_category,priority
platform engineer,DevOps Engineer,20
ci/cd,DevOps Engineer,25
qa engineer,QA Engineer,10
quality engineer,QA Engineer,10
tester,QA Engineer,15
qc engineer,QA Engineer,15
test engineer,QA Engineer,15
quality assurance,QA Engineer,10
qa lead,QA Engineer,15
automation test,QA Engineer,20
cloud engineer,Cloud Engineer,10
aws engineer,Cloud Engineer,15
azure engineer,Cloud Engineer,15
gcp engineer,Cloud Engineer,15
mobile developer,Mobile Developer,10
mobile engineer,Mobile Developer,10
flutter,Mobile Developer,15
ios developer,Mobile Developer,15
android developer,Mobile Developer,15
react native,Mobile Developer,20
solution architect,Solution Architect,10
kien truc su,Solution Architect,15
kien truc giai phap,Solution Architect,15
ux researcher,UX Designer,10
ux designer,UX Designer,10
ui/ux,UX Designer,15
product designer,UX Designer,15
it product designer,UX Designer,20
sap consultant,ERP Consultant,10
sap analytics,ERP Consultant,15
erp consultant,ERP Consultant,15
epicor,ERP Consultant,20
sap pp,ERP Consultant,15
project manager,Project Manager,10
quan ly du an,Project Manager,15
scrum master,Project Manager,20
product manager,Product Manager,10
product owner,Product Manager,15
account executive,Account Manager,10
account manager,Account Manager,10
b2b sales,Sales Operations,10
kinh doanh b2b,Sales Operations,15
sales executive,Sales Operations,10
sales representative,Sales Operations,15
dai dien kinh doanh,Sales Operations,15
dai dien ban hang,Sales Operations,20
chuyen vien kinh doanh,Sales Operations,10
chuyen vien ban hang,Sales Operations,15
ban hang ky thuat,Sales Operations,15
presale,Presales Engineer,10
pre-sale,Presales Engineer,10
technical presale,Presales Engineer,15
channel development,Channel Sales,10
channel sales,Channel Sales,15
channel executive,Channel Sales,15
bat dong san,Sales Operations,20
real estate,Sales Operations,20
mis developer,Backend Developer,25
application engineer,Backend Developer,20
business solutions developer,Backend Developer,20
it developer,Backend Developer,25
sales director,Sales Operations,15
giam doc kinh doanh,Sales Operations,15
sales manager,Sales Operations,15
truong phong kinh doanh,Sales Operations,15
giasat kinh doanh,Sales Operations,20
sap mm,ERP Consultant,15
sap b1,ERP Consultant,15
sap consultant,ERP Consultant,10
quan tri du lieu,Data Management,10
chuyen gia du lieu,Data Management,15
ky thuat du lieu,Data Engineer,10
khoa hoc du lieu,Data Engineer,20
data & analytics,Data Analyst,10
data and analytics,Data Analyst,15
data systems,Data Management,20
pricing analysis,Data Analyst,20
demand planning,Supply Chain Analyst,15
sap mm consultant,ERP Consultant,10
staff ai,AI Engineer,25
ai enginner,AI Engineer,25
nhan vien van hanh,Backend Developer,30
application support,Backend Developer,25
chuyen doi so,Data Management,25
sap,ERP Consultant,10
software engineer,Software Engineer,60
software developer,Software Engineer,60
software engineering,Software Engineer,65
ky su phan mem,Software Engineer,60
kỹ sư phần mềm,Software Engineer,60
lap trinh vien,Software Engineer,65
lập trình viên,Software Engineer,65
system engineer,System Engineer,45
systems engineer,System Engineer,45
system development engineer,System Engineer,45
system administrator,System Engineer,45
sysadmin,System Engineer,50
ky su he thong,System Engineer,45
kỹ sư hệ thống,System Engineer,45
network engineer,Network Engineer,40
network administrator,Network Engineer,40
ky su mang,Network Engineer,40
kỹ sư mạng,Network Engineer,40
mlops engineer,MLOps Engineer,15
mlops,MLOps Engineer,20
ml ops,MLOps Engineer,20
soc analyst,Cyber Security,30
soc engineer,Cyber Security,30
penetration test,Cyber Security,30
pentest,Cyber Security,30
cyber security,Cyber Security,35
cybersecurity,Cyber Security,35
security engineer,Cyber Security,35
information security,Cyber Security,35
security analyst,Cyber Security,35
an toan thong tin,Cyber Security,35
an toàn thông tin,Cyber Security,35
bao mat thong tin,Cyber Security,40
bảo mật thông tin,Cyber Security,40
technical support,Technical Support,40
ho tro ky thuat,Technical Support,40
hỗ trợ kỹ thuật,Technical Support,40
it support,Technical Support,45
helpdesk,Technical Support,45
help desk,Technical Support,45
service desk,Technical Support,45
support engineer,Technical Support,50
embedded software,Embedded Engineer,30
embedded,Embedded Engineer,35
firmware,Embedded Engineer,35
robotics,Embedded Engineer,35
iot engineer,Embedded Engineer,35
bridge system engineer,Bridge Engineer,25
bridge software engineer,Bridge Engineer,25
brse,Bridge Engineer,30
ky su cau noi,Bridge Engineer,30
technical lead,Technical Lead,55
tech lead,Technical Lead,55
truong nhom ky thuat,Technical Lead,55
test automation,QA Engineer,15
quality control,QA Engineer,20
quality manager,QA Engineer,20
kiem thu phan mem,QA Engineer,20
kiểm thử phần mềm,QA Engineer,20
nhan vien qc,QA Engineer,20
nhân viên qc,QA Engineer,20
automation engineer,QA Engineer,40
python developer,Backend Developer,50
api integration,Backend Developer,50
nodejs,Backend Developer,55
node.js,Backend Developer,55
java,Backend Developer,55
.net,Backend Developer,55
php,Backend Developer,55
kỹ thuật dữ liệu,Data Engineer,10
khoa học dữ liệu,Data Engineer,20
phân tích dữ liệu,Data Analyst,10
phan tich du lieu,Data Analyst,10
xử lý dữ liệu,Data Analyst,20
xu ly du lieu,Data Analyst,20
phân tích nghiệp vụ,Data Analyst,15
quản trị dữ liệu,Data Management,10
chuyên gia dữ liệu,Data Management,15
chuyển đổi số,Data Management,25
thị giác máy tính,AI Engineer,25
kiến trúc sư,Solution Architect,15
kiến trúc giải pháp,Solution Architect,15
quản lý dự án,Project Manager,15
chuyên viên kinh doanh,Sales Operations,10
chuyên viên bán hàng,Sales Operations,15
đại diện kinh doanh,Sales Operations,15
đại diện bán hàng,Sales Operations,20
bán hàng kỹ thuật,Sales Operations,15
giám đốc kinh doanh,Sales Operations,15
trưởng phòng kinh doanh,Sales Operations,15
giám sát kinh doanh,Sales Operations,20
giam sat kinh doanh,Sales Operations,20
bất động sản,Sales Operations,20
